Feature,Normalized.Dispersion
ENSRNOG00000070901,-0.8209837694785566
ENSRNOG00000018029,-0.5084175021941534
ENSRNOG00000031391,nan
ENSRNOG00000032625,-1.0749912345319284
ENSRNOG00000016356,-1.0453763498650772
ENSRNOG00000015810,-1.4786285002370227
ENSRNOG00000017538,-0.3999841529032553
ENSRNOG00000027204,-0.6148411065756442
ENSRNOG00000014903,0.14328819079931923
ENSRNOG00000021051,-0.5523526262365454
ENSRNOG00000011160,1.2471179546736675
ENSRNOG00000016227,-0.40370505266752127
ENSRNOG00000013395,-0.24711936036350535
ENSRNOG00000016906,-0.7769805358966185
ENSRNOG00000027582,-1.1256591211109241
ENSRNOG00000009830,2.590119695719654
ENSRNOG00000012742,-1.217624267181609
ENSRNOG00000013767,-1.4706087430721733
ENSRNOG00000032699,0.5447294617408874
ENSRNOG00000018408,0.5244466926717
ENSRNOG00000018334,-1.131802122814915
ENSRNOG00000023407,2.584072399000186
ENSRNOG00000010529,-1.0686839221367217
ENSRNOG00000012684,-0.6955679348196551
ENSRNOG00000067027,nan
ENSRNOG00000019416,-2.0071378686928014
ENSRNOG00000063217,-0.4604178878375416
ENSRNOG00000036631,nan
ENSRNOG00000014946,1.358431903397416
ENSRNOG00000020318,-0.1892691023689413
ENSRNOG00000047406,29.433088150068627
ENSRNOG00000050445,-0.8303964031245313
ENSRNOG00000018953,-0.4343817037385863
ENSRNOG00000062564,nan
ENSRNOG00000013945,1.7150023184078929
ENSRNOG00000033706,nan
ENSRNOG00000031947,-0.9262747401032266
ENSRNOG00000016565,0.4450757738551777
ENSRNOG00000019138,0.0
ENSRNOG00000065649,-1.582008095985966
ENSRNOG00000064423,nan
ENSRNOG00000016574,1.8946684974661703
ENSRNOG00000055608,-0.19674241623285216
ENSRNOG00000020347,0.22635495703861194
ENSRNOG00000016837,5.611394014986074
ENSRNOG00000016608,-0.7379513991664645
ENSRNOG00000012730,1.9545912089994584
ENSRNOG00000018117,-0.14602186178764948
ENSRNOG00000016362,-0.6035264800340001
ENSRNOG00000017307,1.3269216314263494
ENSRNOG00000020942,-2.5214994277705554
ENSRNOG00000017749,5.356457647230606
ENSRNOG00000017079,-0.29476590387470564
ENSRNOG00000017795,-1.3356541230176435
ENSRNOG00000042133,1.0355213110406551
ENSRNOG00000027542,nan
ENSRNOG00000021478,-0.5007075036404405
ENSRNOG00000062409,nan
ENSRNOG00000015230,-1.789563686710321
ENSRNOG00000017069,0.8607423787541955
ENSRNOG00000021013,-0.9872607212018162
ENSRNOG00000018677,2.497572597504157
ENSRNOG00000070234,-0.48350261230439145
ENSRNOG00000016714,-1.4685453878172645
ENSRNOG00000015734,1.0453244661864372
ENSRNOG00000069276,1.3322175539540757
ENSRNOG00000027808,-0.31577912047817264
ENSRNOG00000049772,-0.8747926916671127
ENSRNOG00000053859,0.5849500150572262
ENSRNOG00000018915,0.07598373175447612
ENSRNOG00000020358,-1.5215470745545554
ENSRNOG00000053502,-1.8415186590407455
ENSRNOG00000021442,-2.145113346614264
ENSRNOG00000014278,0.5783358286025917
ENSRNOG00000049605,0.2693636232705966
ENSRNOG00000022921,-1.02500829880499
ENSRNOG00000015902,-1.0590351810972372
ENSRNOG00000020624,-1.6341291884857356
ENSRNOG00000019942,-2.990529108628161
ENSRNOG00000030818,nan
ENSRNOG00000017930,1.0786866760302494
ENSRNOG00000019869,1.3671378550431512
ENSRNOG00000023411,0.9615820175470928
ENSRNOG00000046005,0.6690707140549786
ENSRNOG00000018686,0.9169432355711628
ENSRNOG00000058906,-0.8953685386801798
ENSRNOG00000017408,-1.9672648861477244
ENSRNOG00000021794,-0.000891965645672807
ENSRNOG00000070568,nan
ENSRNOG00000013949,-2.20481033397453
ENSRNOG00000016103,-0.5687127613173755
ENSRNOG00000020643,-1.5439761897763749
ENSRNOG00000058790,-0.042546133810697
ENSRNOG00000020371,0.18016502805371346
ENSRNOG00000014996,0.6694887254898643
ENSRNOG00000067296,0.3843178862371873
ENSRNOG00000017914,1.1502451907349174
ENSRNOG00000014705,-0.4254143405402186
ENSRNOG00000016812,nan
ENSRNOG00000009932,4.1204825444267925
ENSRNOG00000022353,nan
ENSRNOG00000020865,-1.6452784356811032
ENSRNOG00000020714,-3.131490822928394
ENSRNOG00000015825,1.397909891640478
ENSRNOG00000014840,-0.765162013464861
ENSRNOG00000030127,-1.8358967755074382
ENSRNOG00000027098,2.4978951302705856
ENSRNOG00000017311,-1.3731136120308973
ENSRNOG00000019270,-0.21592919346959233
ENSRNOG00000066986,3.4175791049221256
ENSRNOG00000018762,-0.8267613587404904
ENSRNOG00000018019,-0.15322306013103315
ENSRNOG00000046036,1.4214661811276732
ENSRNOG00000015268,0.8393846657337588
ENSRNOG00000069644,-2.231871082907365
ENSRNOG00000016372,-0.13828968969780028
ENSRNOG00000068327,0.6340018719397196
ENSRNOG00000019812,-0.43549463836301133
ENSRNOG00000025940,2.835600901996939
ENSRNOG00000020393,0.6782044880054078
ENSRNOG00000067076,-0.803038730245923
ENSRNOG00000014969,-1.6739581889049693
ENSRNOG00000010840,-1.370206242831981
ENSRNOG00000067278,-1.8097993665078
ENSRNOG00000010308,-0.13274654344019537
ENSRNOG00000066280,nan
ENSRNOG00000017277,2.2148201375769085
ENSRNOG00000013426,-0.15738914305284563
ENSRNOG00000017851,-0.5204407693340726
ENSRNOG00000042465,0.5714836598311783
ENSRNOG00000068788,nan
ENSRNOG00000065112,nan
ENSRNOG00000065285,nan
ENSRNOG00000011439,0.7757241935948037
ENSRNOG00000017635,0.8747255683961984
ENSRNOG00000065098,2.005182484362934
ENSRNOG00000029394,4.38299903295556
ENSRNOG00000017884,-2.107998431374412
ENSRNOG00000021082,1.4157603559075411
ENSRNOG00000020197,-1.3830070513753085
ENSRNOG00000016687,-0.6324754995167862
ENSRNOG00000059984,-0.7242748551051039
ENSRNOG00000020363,-1.049347954250639
ENSRNOG00000066299,-1.2321193330393616
ENSRNOG00000020871,0.24768460871340522
ENSRNOG00000021151,-0.06267207540663307
ENSRNOG00000018310,-1.3380254138387855
ENSRNOG00000030404,-0.5397441046128215
ENSRNOG00000069636,nan
ENSRNOG00000021093,nan
ENSRNOG00000014004,0.5107419647790705
ENSRNOG00000047816,1.0472807960778419
ENSRNOG00000018433,-0.35060466396940027
ENSRNOG00000020925,-1.194150678265684
ENSRNOG00000014327,23.108500225065118
ENSRNOG00000066499,nan
ENSRNOG00000070917,1.6245452769666489
ENSRNOG00000055259,-2.3605153012129456
ENSRNOG00000012140,1.2843661801659478
ENSRNOG00000014828,-0.6488718675848566
ENSRNOG00000020497,1.9457662982493584
ENSRNOG00000024630,-1.2085312495898148
ENSRNOG00000025154,nan
ENSRNOG00000014448,0.5646328691238464
ENSRNOG00000015753,-2.2358912940354942
ENSRNOG00000067461,1.8933349317302053
ENSRNOG00000028781,-1.2981209896940695
ENSRNOG00000054561,-1.2683789706489292
ENSRNOG00000063169,-1.3222671522596707
ENSRNOG00000019491,-1.7583857476206812
ENSRNOG00000031381,-0.3687592617404313
ENSRNOG00000021153,0.9109099224667216
ENSRNOG00000037137,5.560477970491668
ENSRNOG00000014380,-2.079437312189094
ENSRNOG00000017150,-0.08019808150775466
ENSRNOG00000015168,nan
ENSRNOG00000020517,-1.7821389452363325
ENSRNOG00000015717,-0.3164626784009438
ENSRNOG00000015914,0.3363774519438457
ENSRNOG00000019141,-0.43182088556795617
ENSRNOG00000019582,-1.4095826174729174
ENSRNOG00000019440,-0.744973979589563
ENSRNOG00000036711,-0.10114981873749891
ENSRNOG00000013149,-2.7387028829483606
ENSRNOG00000036588,nan
ENSRNOG00000019660,-0.9028456620384474
ENSRNOG00000018048,-0.9592394499101127
ENSRNOG00000010224,-1.7406906833851579
ENSRNOG00000029043,1.2093867508449063
ENSRNOG00000018421,-3.120895147167134
ENSRNOG00000019681,-0.693888684801303
ENSRNOG00000020202,-0.17803049765437756
ENSRNOG00000017613,-0.798587218773512
ENSRNOG00000055519,nan
ENSRNOG00000015997,-1.188838327930155
ENSRNOG00000015773,-1.6158261990589236
ENSRNOG00000062071,nan
ENSRNOG00000066969,-0.05148009735233685
ENSRNOG00000014251,-1.4282778715397142
ENSRNOG00000025539,1.4978813968691702
ENSRNOG00000066862,nan
ENSRNOG00000012716,0.644116642770109
ENSRNOG00000016011,0.17682505307023227
ENSRNOG00000020014,0.6792992899033709
ENSRNOG00000055082,-1.0561512524546433
ENSRNOG00000019129,-1.563842187125853
ENSRNOG00000017960,0.5374223396655474
ENSRNOG00000056062,nan
ENSRNOG00000046683,-1.5572677800990566
ENSRNOG00000052256,0.4044576120987445
ENSRNOG00000057889,nan
ENSRNOG00000011931,4.130114881830056
ENSRNOG00000037556,-1.4648134274427707
ENSRNOG00000068492,0.3495685996303685
ENSRNOG00000062480,3.706953851360536
ENSRNOG00000012301,-1.9814080827841878
ENSRNOG00000070848,0.6010074572769055
ENSRNOG00000042899,-1.396932285445468
ENSRNOG00000013160,1.3280848448590017
ENSRNOG00000024077,-0.6149205657849168
ENSRNOG00000020456,2.3702658272028203
ENSRNOG00000019802,0.308514494505717
ENSRNOG00000012806,-1.0829467448624162
ENSRNOG00000070914,2.7488681865045987
ENSRNOG00000019497,1.3318595033016325
ENSRNOG00000037331,-0.7896619816521622
ENSRNOG00000020774,0.4437537747384575
ENSRNOG00000037897,-1.564341103518364
ENSRNOG00000016831,-0.7533352809729862
ENSRNOG00000024280,4.175580251065129
ENSRNOG00000056228,-2.136516213005189
ENSRNOG00000028743,-1.0446944144698709
ENSRNOG00000013925,1.2553204753667113
ENSRNOG00000028273,-0.14908735110187793
ENSRNOG00000023233,-0.6534046143508178
ENSRNOG00000034075,2.4759520778681297
ENSRNOG00000014341,-0.2418009549479005
ENSRNOG00000020543,0.005556117555621224
ENSRNOG00000020298,-0.31237075208354037
ENSRNOG00000018255,-1.0893023498187173
ENSRNOG00000021000,nan
ENSRNOG00000016286,nan
ENSRNOG00000033729,-0.11087451232990911
ENSRNOG00000020716,-1.155393754146772
ENSRNOG00000018402,nan
ENSRNOG00000011488,-0.6851998414923379
ENSRNOG00000015441,1.6569765277347426
ENSRNOG00000020412,-0.8313935166724931
ENSRNOG00000016923,-0.07173782946529048
ENSRNOG00000018405,-0.8292355061295676
ENSRNOG00000010938,3.0500176928464886
ENSRNOG00000014318,nan
ENSRNOG00000011029,4.015242481643599
ENSRNOG00000015239,0.3728111378248426
ENSRNOG00000069539,0.7445843510289141
ENSRNOG00000016857,nan
ENSRNOG00000018426,0.1528585849959758
ENSRNOG00000020110,-1.7732244333578158
ENSRNOG00000012084,0.044052449453865355
ENSRNOG00000046652,0.6619624298450056
ENSRNOG00000024961,-0.8833101282749458
ENSRNOG00000011672,nan
ENSRNOG00000017673,-0.45273749786719497
ENSRNOG00000032150,-1.152362150870298
ENSRNOG00000066542,nan
ENSRNOG00000018356,-0.6518543176829157
ENSRNOG00000018287,nan
ENSRNOG00000023753,-0.13304782777159666
ENSRNOG00000030932,4.475816372176492
ENSRNOG00000018761,-1.5836804825221982
ENSRNOG00000069274,0.8536323065876875
ENSRNOG00000030160,nan
ENSRNOG00000069633,2.1936908476960775
ENSRNOG00000032946,nan
ENSRNOG00000025088,nan
ENSRNOG00000020743,-0.21824877972682666
